,avg_hrcrx_max_byt
12/12/2016 0:00,121.6944444
12/12/2016 0:15,121.4833333
12/12/2016 0:30,121.5966667
12/12/2016 0:45,121.9788889
12/12/2016 1:00,121.9433333
12/12/2016 1:15,123.2022222
12/12/2016 1:30,123.2455556
12/12/2016 1:45,124.2033333
12/12/2016 2:00,137.0733333
12/12/2016 2:15,121.2155556
12/12/2016 2:30,144.5022222
12/12/2016 2:45,121.3977778
12/12/2016 3:00,121.5277778
12/12/2016 3:15,122.3777778
12/12/2016 3:30,122.8388889
12/12/2016 3:45,121.2444444
12/12/2016 4:00,122.4766667
12/12/2016 4:15,121.5866667
12/12/2016 4:30,121.1633333
12/12/2016 4:45,123.6388889
12/12/2016 5:00,121.8344444
12/12/2016 5:15,123.0677778
12/12/2016 5:30,121.4955556
12/12/2016 5:45,123.1188889
12/12/2016 6:00,126.5433333
12/12/2016 6:15,124.2444444
12/12/2016 6:30,124.4566667
12/12/2016 6:45,121.7733333
12/12/2016 7:00,122.2666667
12/12/2016 7:15,122.1733333
12/12/2016 7:30,122.49
12/12/2016 7:45,122.13
12/12/2016 8:00,122.3488889
12/12/2016 8:15,123.4633333
12/12/2016 8:30,121.6111111
12/12/2016 8:45,122.25
12/12/2016 9:00,122.8855556
12/12/2016 9:15,123.1633333
12/12/2016 9:30,122.9333333
12/12/2016 9:45,121.9777778
12/12/2016 10:00,122.3511111
12/12/2016 10:15,123.3311111
12/12/2016 10:30,124.02
12/12/2016 10:45,122.8366667
12/12/2016 11:00,123.0422222
12/12/2016 11:15,122.9988889
12/12/2016 11:30,122.5555556
12/12/2016 11:45,121.4266667
12/12/2016 12:00,122.5088889
12/12/2016 12:15,123.4055556
12/12/2016 12:30,123.2833333
12/12/2016 12:45,122.5655556
12/12/2016 13:00,122.7277778
12/12/2016 13:15,123.0022222
12/12/2016 13:30,122.0111111
12/12/2016 13:45,124.0588889
12/12/2016 14:00,118.8033333
12/12/2016 14:15,122.0033333
12/12/2016 14:30,132.41
12/12/2016 14:45,257.4744444
12/12/2016 15:00,982.3877778
12/12/2016 15:15,232.1888889
12/12/2016 15:30,394.1355556
12/12/2016 15:45,774.3088889
12/12/2016 16:00,1213.18
12/12/2016 16:15,985.2244444
12/12/2016 16:30,1156.707778
12/12/2016 16:45,715.2888889
12/12/2016 17:00,703.9522222
12/12/2016 17:15,1801.668889
12/12/2016 17:30,3716.738889
12/12/2016 17:45,3610.986667
12/12/2016 18:00,4487.173333
12/12/2016 18:15,6794.32
12/12/2016 18:30,3578.845556
12/12/2016 18:45,8513.603333
12/12/2016 19:00,3663.522222
12/12/2016 19:15,3302.892222
12/12/2016 19:30,3812.983333
12/12/2016 19:45,3543.123333
12/12/2016 20:00,3059.746667
12/12/2016 20:15,3161.715556
12/12/2016 20:30,4441.695556
12/12/2016 20:45,1914.104444
12/12/2016 21:00,2546.392222
12/12/2016 21:15,3677.458889
12/12/2016 21:30,3880.072222
12/12/2016 21:45,4485.652222
12/12/2016 22:00,3474.102222
12/12/2016 22:15,3538.845556
12/12/2016 22:30,4837.138889
12/12/2016 22:45,6454.984444
12/12/2016 23:00,4639.921111
